budget,genres,id,production_companies,release_date,release_month,revenue,tagline,title,vote_average,award_noms
967686,Comedy,37495,"[{'name': 'Film4', 'id': 9349}, {'name': 'Drafthouse Films', 'id': 10485}, {'name': 'Warp Films', 'id': 12180}, {'name': 'Wild Bunch Distribution', 'id': 15308}]",5/7/2010,May,4270000,We are 4 Lions.,Four Lions,7.1,0
35000000,Comedy,35169,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Robert Simonds Productions', 'id': 3929}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Imagenation Abu Dhabi FZ', 'id': 6736}, {'name': 'Furry Vengeance Productions', 'id': 34447}]",4/2/2010,April,39340177,He came. He saw. They conquered.,Furry Vengeance,4.6,0
800000,Crime,38542,"[{'name': 'Isle of Man Film', 'id': 2268}, {'name': 'CinemaNX', 'id': 5705}]",9/12/2009,September,867714,Where is Alice Creed?,The Disappearance of Alice Creed,6.4,0
200000000,Action,20662,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Relativity Media', 'id': 7295}]",5/12/2010,May,310669540,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,0
100000,Action,31261,"[{'name': 'Microsoft', 'id': 5133}]",2/16/2010,February,1000000,Seven stories from the heart of the Halo universe,Halo Legends,6.9,0
3500000,Drama,46705,"[{'name': 'Hunting Lane Films', 'id': 2290}, {'name': 'Silverwood Films', 'id': 2293}, {'name': 'Incentive Filmed Entertainment', 'id': 7215}, {'name': 'Chrysler Corporation', 'id': 11335}, {'name': 'Shade Pictures', 'id': 11336}, {'name': 'Motel Movies', 'id': 11337}, {'name': 'Cottage Industries', 'id': 11338}]",12/27/2010,December,16566240,Nobody Baby But You And Me,Blue Valentine,6.9,0
75000000,Action,37821,"[{'name': 'Katalyst Films', 'id': 817}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Aversano Films', 'id': 60022}]",6/4/2010,June,98159963,Perfect wife. Perfect target.,Killers,5.7,0
1987650,Drama,26388,"[{'name': 'Studio 37', 'id': 2577}, {'name': 'Versus Entertainment', 'id': 11564}, {'name': 'The Safran Company', 'id': 11565}, {'name': 'Dark Trick Films', 'id': 11566}]",9/24/2010,September,19152480,"170,000 sq miles of desert. 90 minutes of oxygen. No way out.",Buried,6.6,0
150000000,Adventure,9543,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]",5/19/2010,May,335154643,Defy the Future,Prince of Persia: The Sands of Time,6.2,0
100000000,Comedy,37786,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Home Box Office (HBO)', 'id': 3268}, {'name': 'HBO Films', 'id': 7429}]",5/26/2010,May,288347692,Carrie on.,Sex and the City 2,5.5,0
40000000,Comedy,32823,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Apatow Productions', 'id': 10105}]",6/4/2010,June,90029656,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,Get Him to the Greek,5.9,0
35000000,Comedy,34806,"[{'name': 'Escape Artists', 'id': 1423}, {'name': 'CBS Films', 'id': 5490}]",4/23/2010,April,77477008,"Fall in love, get married, have a baby. Not necessarily in that order.",The Back-Up Plan,5.7,0
9000000,Comedy,28871,[],11/16/2007,November,706000,,How About You...,6.2,0
47000000,Action,20533,"[{'name': 'Warner Bros.', 'id': 6194}]",6/18/2010,June,10539000,Revenge gets ugly.,Jonah Hex,4.5,0
110000000,Thriller,34544,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Top Cow Productions', 'id': 2528}, {'name': 'Stephen J. Cannell Productions', 'id': 5585}, {'name': 'Big Screen Productions', 'id': 10893}, {'name': 'Phoenix Film Partners', 'id': 10908}]",6/10/2010,June,177238796,There Is No Plan B,The A-Team,6.2,0
200000000,Animation,10193,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Pixar Animation Studios', 'id': 3}]",6/16/2010,June,1066969703,No toy gets left behind.,Toy Story 3,7.6,5
2000000,Drama,39013,"[{'name': 'Anonymous Content', 'id': 10039}, {'name': ""Winter's Bone Productions"", 'id': 19778}]",6/11/2010,June,13831503,Talking Just Causes Witnesses,Winter's Bone,6.8,0
165000000,Comedy,10192,"[{'name': 'DreamWorks Animation', 'id': 521}]",5/16/2010,May,752600867,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,0
68000000,Adventure,24021,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Maverick Films', 'id': 4000}, {'name': 'Imprint Entertainment', 'id': 5218}, {'name': 'Sunswept Entertainment', 'id': 5219}, {'name': 'Temple Hill Entertainment', 'id': 12292}]",6/23/2010,June,698491347,It all begins ... With a choice.,The Twilight Saga: Eclipse,5.9,0
15000000,Comedy,36691,"[{'name': 'Smartest Man Productions', 'id': 10226}, {'name': 'Millennium Films', 'id': 10254}, {'name': 'Paul Schiff Productions', 'id': 23596}]",9/7/2009,September,5024782,Ben loves his family almost as much as he loves himself,Solitary Man,5.8,0
13000000,Fantasy,34647,"[{'name': 'BIM Distribuzione', 'id': 225}, {'name': 'Wild Bunch', 'id': 856}]",5/5/2009,May,754249,,Enter the Void,7.2,0
150000000,Action,10196,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Nickelodeon Movies', 'id': 2348}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}, {'name': 'Industrial Light & Magic (ILM)', 'id': 8805}, {'name': 'Blinding Edge Pictures', 'id': 12236}]",6/30/2010,June,318502923,"Four nations, one destiny",The Last Airbender,4.7,0
40000000,Action,34851,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'Troublemaker Studios', 'id': 10807}]",7/3/2010,July,126248813,Fear is Reborn,Predators,6,0
69000000,Animation,20352,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Illumination Entertainment', 'id': 6704}]",7/8/2010,July,543513985,Superbad. Superdad.,Despicable Me,7.1,0
160000000,Action,27205,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Syncopy', 'id': 9996}]",7/14/2010,July,825532764,Your mind is the scene of the crime.,Inception,8.1,8
80000000,Comedy,38365,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Relativity Media', 'id': 7295}]",6/24/2010,June,271430189,Boys will be boys. . . some longer than others.,Grown Ups,6,0
150000000,Fantasy,27022,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Saturn Films', 'id': 831}, {'name': 'Broken Road Productions', 'id': 8000}, {'name': 'Junction Entertainment', 'id': 19097}]",7/13/2010,July,215283742,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.9,0
117000000,Action,37834,"[{'name': 'Tree Line Films', 'id': 84}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Pink Machine', 'id': 21845}]",6/15/2010,June,261930431,Every Hit Man Deserves a Second Shot!,Knight and Day,5.9,0
40000000,Action,38575,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'China Film Group', 'id': 5635}, {'name': 'Overbrook Entertainment', 'id': 12485}]",6/10/2010,June,357852395,A Challenge He Never Imagined. A Teacher He Never Expected.,The Karate Kid,6.2,0
15000000,Drama,22556,"[{'name': 'area japan', 'id': 6536}]",12/17/2008,December,317000,,The Yellow Handkerchief,6.4,0
3500000,Comedy,39781,"[{'name': 'Mandalay Vision', 'id': 6667}, {'name': '10th Hole Productions', 'id': 6691}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Gilbert Films', 'id': 10161}, {'name': 'Saint Aire Production', 'id': 23910}, {'name': 'Artist International', 'id': 23911}, {'name': 'Antidote Films (I)', 'id': 23912}, {'name': 'Artist International Management', 'id': 23913}]",7/9/2010,July,34705850,"Nic and Jules had the perfect family, until they met the man who made it all possible.",The Kids Are All Right,6.5,0
110000000,Action,27576,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Wintergreen Productions', 'id': 11845}]",7/21/2010,July,293329073,Who is Salt?,Salt,6.2,0
47000000,Science Fiction,31011,"[{'name': 'Pan EuropÃ©enne Production', 'id': 796}, {'name': 'Virtual Films', 'id': 2366}]",9/11/2009,September,3547209,"Nothing is real, everything is possible.",Mr. Nobody,7.9,0
69000000,Comedy,38778,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Everyman Pictures', 'id': 2242}, {'name': 'Reliance BIG Entertainment', 'id': 6733}, {'name': 'Parkes/MacDonald Productions', 'id': 11084}]",7/30/2010,July,86387857,Takes One To Know One.,Dinner for Schmucks,5.5,0
35000000,Comedy,35019,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Three Strange Angels', 'id': 1973}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Working Title Films', 'id': 10163}]",3/26/2010,March,93246388,You'll Believe That Pigs Can Fly!,Nanny McPhee and the Big Bang,6,0
12902809,Action,37472,"[{'name': 'Mandarin Films Distribution Co.', 'id': 4054}]",4/21/2010,April,36000000,Behind every great martial artist lies a teacher.,Ip Man 2,7.2,0
44000000,Drama,37950,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'Relativity Media', 'id': 7295}]",5/1/2010,May,48190704,Life is for living.,Charlie St. Cloud,6.8,0
100000000,Action,27581,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Gary Sanchez Productions', 'id': 4740}]",8/6/2010,August,170432927,When the cops are busy... Our only hope is...,The Other Guys,6.1,0
80000000,Thriller,27578,"[{'name': 'Millennium Films', 'id': 10254}]",8/3/2010,August,274470394,Choose Your Weapon.,The Expendables,6,0
60000000,Action,22538,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Marc Platt Productions', 'id': 2527}]",7/27/2010,July,47664559,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,Scott Pilgrim vs. the World,7.2,0
5000000,Drama,44629,"[{'name': 'Porchlight Films', 'id': 6237}]",6/3/2010,June,1000000,A crime story.,Animal Kingdom,6.7,0
12000000,Adventure,23759,"[{'name': 'PathÃ© Pictures International', 'id': 1178}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Celador Films', 'id': 3573}, {'name': 'Canal+', 'id': 5358}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'CinÃ©CinÃ©ma', 'id': 6301}]",2/15/2010,February,6814789,History is written in blood,Centurion,6,0
4500000,Comedy,39800,"[{'name': 'Werc Werk Works', 'id': 53303}]",10/10/2009,October,744816,,Life During Wartime,6.3,0
24000000,Comedy,43593,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Atmosphere Entertainment MM', 'id': 2995}, {'name': 'Chako Film Company', 'id': 7332}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Intellectual Properties Worldwide', 'id': 18524}, {'name': 'Aja / Levasseur Productions', 'id': 22596}]",8/20/2010,August,83188165,There's something in the water.,Piranha 3D,5.3,0
25000000,Fantasy,35552,"[{'name': 'TF1 Films Productions', 'id': 356}, {'name': 'ApipoulaÃ¯', 'id': 1076}, {'name': 'EuropaCorp', 'id': 6896}]",4/9/2010,April,34100000,,The Extraordinary Adventures of AdÃ¨le Blanc-Sec,5.9,0
10000000,Comedy,41479,"[{'name': 'Echo Lake Productions', 'id': 2147}, {'name': 'Premiere Picture', 'id': 3870}]",9/13/2009,September,7022728,"They're not just living the American dream, they're selling it.",The Joneses,6.1,0
30000000,Crime,42194,"[{'name': 'Namco', 'id': 5882}, {'name': 'Light Song Films', 'id': 5883}]",3/20/2010,March,967000,Survival is no game,TEKKEN,5.2,0
1800000,Horror,38358,"[{'name': 'Strike Entertainment', 'id': 655}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Arcade Pictures', 'id': 11112}]",8/27/2010,August,67738090,Believe In Him.,The Last Exorcism,5.6,0
20000000,Crime,27579,"[{'name': 'This Is That Productions', 'id': 10059}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Twins Financing', 'id': 20899}, {'name': 'Smokehouse Pictures', 'id': 22695}, {'name': 'Greenlit Rights', 'id': 72503}]",8/31/2010,August,65464324,,The American,5.8,0
19000000,Comedy,41210,"[{'name': 'Mandate Pictures', 'id': 771}, {'name': 'Bona Fide Productions', 'id': 2570}, {'name': 'Echo Films', 'id': 7382}]",5/11/2010,May,49830607,The most unexpected comedy ever conceived.,The Switch,5.9,0
20000000,Action,23631,"[{'name': 'Dune Entertainment', 'id': 444}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'Troublemaker Studios', 'id': 10807}, {'name': 'Overnight Films', 'id': 10808}]",9/1/2010,September,31327899,He was given an offer he couldn't refuse...,Machete,6.3,0
30000000,Drama,41233,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Touchstone Pictures', 'id': 9195}]",8/4/2010,August,159291809,Two Worlds. One Dream.,Step Up 3D,6.6,0
32000000,Comedy,38073,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Offspring Entertainment', 'id': 2378}]",9/1/2010,September,42045846,A comedy about meeting each other halfway.,Going the Distance,6,0
20000000,Horror,40264,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Road Rebel', 'id': 2648}]",8/18/2010,August,80547866,Some sagas just won't die.,Vampires Suck,4.2,0
60000000,Action,35791,"[{'name': 'Impact Pictures', 'id': 248}, {'name': 'Davis-Films', 'id': 342}, {'name': 'Constantin Film Produktion', 'id': 5755}]",9/9/2010,September,300228084,She's back...And she's bringing a few of her friends.,Resident Evil: Afterlife,5.8,0
40000000,Drama,37799,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'Relativity Media', 'id': 7295}]",9/30/2010,September,224920315,You don't get to 500 million friends without making a few enemies.,The Social Network,7.1,8
37000000,Crime,23168,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'GK Films', 'id': 3281}, {'name': 'Thunder Road Pictures', 'id': 3528}, {'name': 'Warner Bros.', 'id': 6194}]",9/15/2010,September,154026136,Welcome to the bank robbery capital of America.,The Town,7,0
8000000,Comedy,37735,"[{'name': 'Screen Gems', 'id': 3287}, {'name': 'Olive Bridge Entertainment', 'id': 7291}]",9/10/2010,September,74952305,The rumour-filled totally false account of how I ruined my flawless reputation.,Easy A,6.7,0
60000000,Drama,38167,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Red Om Films', 'id': 2455}, {'name': 'Plan B Entertainment', 'id': 45778}]",8/12/2010,August,204594016,Let Yourself GO,Eat Pray Love,5.8,0
30000,Drama,38568,"[{'name': 'RabbitBandini Productions', 'id': 8924}, {'name': 'Werc Werk Works', 'id': 53303}]",8/26/2010,August,617000,The Obscenity Trial That Started a Revolution. The Poem That Rocked a Generation.,Howl,6.8,0
14000000,Romance,43949,"[{'name': 'Reiner / Greisman Productions', 'id': 86256}]",8/6/2010,August,1755212,You never forget your first love.,Flipped,7.4,0
70000000,Drama,33909,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'Edward R. Pressman Film', 'id': 6455}]",9/2/2010,September,134748021,Gordon never gives up.,Wall Street: Money Never Sleeps,5.8,0
80000000,Animation,41216,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Animal Logic', 'id': 8089}, {'name': 'Cruel and Unusual Films', 'id': 78685}]",7/10/2010,July,140073390,On his way to finding a legend...he will become one.,Legend of the Guardians: The Owls of Ga'Hoole,6.5,0
85000000,Comedy,39691,"[{'name': 'Village Roadshow Pictures', 'id': 79}]",7/30/2010,July,112483764,Just like real spies... only furrier.,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,0
8000000,Comedy,43923,"[{'name': 'Focus Features', 'id': 10146}]",7/6/2010,July,6491240,Sometimes what's in your head isn't as crazy as you think.,It's Kind of a Funny Story,6.9,0
3800000,Comedy,27023,[],6/10/2009,June,111731,,Saint John of Las Vegas,5.9,0
20000000,Drama,41402,"[{'name': 'Hammer Film Productions', 'id': 1314}, {'name': 'EFTI', 'id': 3576}, {'name': 'Exclusive Media Group', 'id': 11448}, {'name': 'Overture Films', 'id': 12807}]",10/1/2010,October,24145613,Innocence dies. Abby doesn't.,Let Me In,6.7,0
35000000,Drama,39486,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Fast Track Productions', 'id': 22880}, {'name': 'Mayhem Pictures', 'id': 22881}]",8/20/2010,August,60251371,The Impossible True Story,Secretariat,6.8,0
10000000,Horror,44040,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Media Rights Capital', 'id': 2531}, {'name': 'Night Chronicles', 'id': 6006}, {'name': 'Relativity Media', 'id': 7295}]",1/13/2010,January,33583175,Bad Things Happen For A Reason,Devil,5.8,0
20000000,Comedy,38303,"[{'name': 'Oops Doughnuts Productions', 'id': 5698}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Frontier Pictures', 'id': 11837}]",9/24/2010,September,32005248,What doesn't kill you... is going to marry your brother.,You Again,6,0
38000000,Comedy,38408,"[{'name': 'Josephson Entertainment', 'id': 1894}, {'name': 'Gold Circle Films', 'id': 12026}]",10/2/2010,October,105610124,A comedy about taking it one step at a time.,Life As We Know It,6.6,0
30000,Documentary,42296,"[{'name': 'Hit the Ground Running Films', 'id': 6523}]",9/17/2010,September,3045943,Don't let anyone tell you what it is.,Catfish,6.5,0
22000000,Drama,44113,"[{'name': 'Stone Productions', 'id': 6572}, {'name': 'Mimran Schur Pictures', 'id': 6573}]",10/7/2010,October,9479718,Some People Tell Lies. Others Live Them.,Stone,5.2,0
2000000,Documentary,44639,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Sony Pictures Home Entertainment', 'id': 5388}]",10/8/2010,October,7871522,"The film that cost $20,000,000,000,000 to make.",Inside Job,7.7,1
500000,Drama,43933,"[{'name': 'Vertigo Entertainment', 'id': 829}]",6/18/2010,June,4242978,"After Six Years, They're No Longer Aliens. They're Residents",Monsters,6.2,0
12500000,Drama,45094,"[{'name': 'Oceana Media Finance', 'id': 4634}, {'name': 'Pantheon Entertainment Corporation', 'id': 5986}, {'name': 'Innocence Productions', 'id': 5987}, {'name': 'Prescience', 'id': 6901}, {'name': 'Omega Entertainment', 'id': 8101}, {'name': 'Longfellow Pictures', 'id': 8802}]",9/11/2010,September,6732980,An extraordinary journey of how far we go to fight for our family.,Conviction,7,0
4000000,Drama,70695,"[{'name': 'iDeal Partners Film Fund', 'id': 3766}]",9/12/2010,September,55125,Let them talk.,Dirty Girl,6.4,0
15000000,Drama,42188,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'DNA Films', 'id': 284}, {'name': 'Film4', 'id': 9349}]",9/15/2010,September,9455232,These students have everything they need. Except time.,Never Let Me Go,6.8,0
18000000,Animation,41201,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Django Film', 'id': 3659}, {'name': 'PathÃ© Films', 'id': 4959}, {'name': 'Canal+', 'id': 5358}, {'name': 'CinÃ©CinÃ©ma', 'id': 6301}]",2/16/2010,February,5602431,"When life loses its wonder, all it takes is one person who still believes in magic.",The Illusionist,7.2,0
2270000,Drama,44549,[],8/13/2010,August,6900000,,PEEPLI [Live],7.7,0
500000,Comedy,45649,"[{'name': 'Canal+', 'id': 5358}, {'name': 'Backup Films', 'id': 5381}, {'name': 'Arte France', 'id': 6111}, {'name': 'Arte France CinÃ©ma', 'id': 6916}, {'name': 'Elle Driver', 'id': 6930}, {'name': '1.85 Films', 'id': 12856}, {'name': 'Realitism Films', 'id': 20856}, {'name': 'Sindika Dokolo', 'id': 23002}]",7/9/2010,July,98017,Are you TIRED of the expected?,Rubber,5.7,0
22000000,Horror,41505,"[{'name': 'NALA Films', 'id': 2088}, {'name': 'IM Global', 'id': 7437}, {'name': 'Maraci/Edelstein Films', 'id': 23199}, {'name': 'Shelter Productions', 'id': 23200}]",3/27/2010,March,851517,Evil will rise.,Shelter,5.7,0
20000000,Comedy,16290,"[{'name': 'MTV Films', 'id': 746}]",10/15/2010,October,117224271,Don't try this at home,Jackass 3D,6.4,0
58000000,Action,39514,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'DC Entertainment', 'id': 9993}]",10/13/2010,October,71664962,Still armed. Still dangerous. Still got it.,RED,6.6,0
25000000,Drama,43931,"[{'name': 'Relativity Media', 'id': 7295}, {'name': 'Rogue', 'id': 8853}]",10/8/2010,October,19829957,Only One Has The Power To Save Their Souls,My Soul to Take,5.2,0
12000000,Crime,14397,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Canadian Film or Video Production Tax Credit (CPTC)', 'id': 8582}, {'name': 'Gold Circle Films', 'id': 12026}, {'name': 'Province of British Columbia Production Services Tax Credit', 'id': 12200}, {'name': 'H2F Entertainment', 'id': 20851}, {'name': 'Yukon Film Incentive Program', 'id': 24006}]",11/27/2007,November,5285197,Sinister things begin happening to kidnappers who are holding a young boy for ransom in a remote cabin.,Whisper,6.2,0
8700000,Romance,41211,"[{'name': 'Quad Productions', 'id': 7038}, {'name': 'Chaocorp', 'id': 7766}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Orange CinÃ©ma SÃ©ries', 'id': 11620}, {'name': 'Banque Populaire Images 10', 'id': 12609}, {'name': 'Script AssociÃ©s', 'id': 19957}, {'name': 'A Plus Image', 'id': 19959}]",3/17/2010,March,47355187,He's broken every heart except his own... until now.,Heartbreaker,6.5,0
4000000,Drama,46332,"[{'name': 'Why Not Productions', 'id': 729}, {'name': 'Armada Films', 'id': 7453}, {'name': 'France TÃ©lÃ©vision', 'id': 7454}, {'name': 'CinÃ©mage 4', 'id': 7455}, {'name': 'Cofinova 6', 'id': 7456}, {'name': 'SoficinÃ©ma 6', 'id': 7457}]",5/18/2010,May,41424067,"In the face of terror, their greatest weapon was faith...",Of Gods and Men,6.5,0
3000000,Horror,41436,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Solana Films', 'id': 21223}]",10/20/2010,October,177512032,In 2009 you demanded it. Nothing can prepare you for what's next.,Paranormal Activity 2,5.7,0
50000000,Drama,44603,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}]",10/15/2010,October,105197635,Touched by death. Changed by life.,Hereafter,5.8,0
20000000,Horror,41439,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Twisted Pictures', 'id': 2061}, {'name': 'Serendipity Productions', 'id': 6680}]",10/21/2010,October,136150434,The Traps Come Alive,Saw: The Final Chapter,5.8,0
65000000,Comedy,41733,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Green Hat Films', 'id': 3527}, {'name': 'Warner Bros.', 'id': 6194}]",11/4/2010,November,211780824,Leave Your Comfort Zone,Due Date,6.2,0
18000000,Adventure,44115,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Cloud Eight Films', 'id': 6708}, {'name': 'PathÃ©', 'id': 7981}, {'name': 'Film4', 'id': 9349}, {'name': 'Everest Entertainment', 'id': 10892}, {'name': 'HandMade Films', 'id': 20076}]",11/5/2010,November,35692920,There is no force more powerful than the will to live.,127 Hours,7,0
130000000,Animation,38055,"[{'name': 'DreamWorks Animation', 'id': 521}]",10/28/2010,October,321887208,His brain is off the chain.,Megamind,6.7,0
13000000,Drama,44214,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Protozoa Pictures', 'id': 7503}, {'name': 'Cross Creek Pictures', 'id': 10246}]",12/2/2010,December,327803731,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are.",Black Swan,7.3,5
22000000,Drama,38363,"[{'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Participant Media', 'id': 6735}]",5/20/2010,May,24188922,Wife. Mother. Spy.,Fair Game,6.5,0
100000000,Action,44048,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Firm Films', 'id': 1838}, {'name': 'Prospect Park', 'id': 19776}, {'name': 'Millbrook Farm Productions', 'id': 19777}]",11/4/2010,November,167805466,"1,000,000 Tons. 100,000 Lives. 100 Minutes.",Unstoppable,6.3,0
40000000,Comedy,38357,"[{'name': 'Bad Robot', 'id': 11461}, {'name': 'Goldcrest Pictures', 'id': 11843}]",1/12/2010,January,58785180,Breakfast TV just got interesting.,Morning Glory,6.1,0
30000000,Romance,43539,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'FidÃ©litÃ© Films', 'id': 2927}, {'name': 'Hwy61', 'id': 6320}]",11/18/2010,November,51148651,What if you had 72 hours to save everything you live for?,The Next Three Days,6.9,0
8000000,Action,44147,"[{'name': 'Matador Pictures', 'id': 707}, {'name': 'Isle of Man Film', 'id': 2268}, {'name': 'Magic Light Pictures', 'id': 5644}, {'name': 'CinemaNX', 'id': 5705}, {'name': 'Cinema Four', 'id': 6984}, {'name': 'Regent Capital', 'id': 12696}, {'name': 'Entertainment Film Distributors', 'id': 23164}]",6/17/2010,June,3453043,They said 'Take her out'. He got the wrong idea.,Wild Target,6.4,0
18000000,Crime,43434,"[{'name': 'Egoli Tossell Film AG', 'id': 2254}, {'name': 'Canal+', 'id': 5358}, {'name': 'Arte France', 'id': 6111}, {'name': 'Films en Stock', 'id': 11394}]",5/19/2010,May,871279,The man who hijacked the world,Carlos,6.7,0
250000000,Adventure,12444,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",10/17/2010,October,954305868,One Wayâ€¦ One Fateâ€¦ One Hero.,Harry Potter and the Deathly Hallows: Part 1,7.5,0
15000000,Drama,45269,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Bedlam Productions', 'id': 5005}, {'name': 'See-Saw Films', 'id': 7217}, {'name': 'Aegis Film Fund', 'id': 7309}, {'name': 'FilmNation Entertainment', 'id': 7493}, {'name': 'Momentum Pictures', 'id': 19578}, {'name': 'Molinare Investment', 'id': 19579}]",9/6/2010,September,414211549,Find your voice.,The King's Speech,7.6,12
260000000,Animation,38757,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}]",11/24/2010,November,591794936,They're taking adventure to new lengths.,Tangled,7.4,0
